"TF" "Target" "Score" "Likelihood"
"NR2F1" "PCDHGA12" "0.59268143059607" "0.0009990009990009"
"NR2F1" "LIX1L" "0.668133277848523" "0.337662337662338"
"IRF1" "IL32" "0.639549919860823" "0.017982017982018"
"IRF1" "PLEKHO1" "0.62951437441074" "0.356643356643357"
"IRF1" "TYMP" "0.589682371023341" "0.003996003996004"
"IRF1" "TNFRSF1B" "0.617222163291148" "0.004995004995005"
"IRF1" "SESN1" "-0.619104679410678" "0.0009990009990009"
"IRF1" "OSM" "0.800445066561252" "0.003996003996004"
"IRF1" "ZMYND8" "-0.593879723070711" "0.028971028971029"
"IRF1" "TULP2" "0.607206272469356" "0.003996003996004"
"IRF1" "GNAT1" "0.598470551716405" "0.0089910089910089"
"IRF1" "ID2" "0.674965537595425" "0.146853146853147"
"IRF1" "RNF19B" "0.871999321064142" "0.321678321678322"
"IRF1" "PTCH2" "0.666233224758336" "0.040959040959041"
"IRF1" "SCO2" "0.744254582223156" "0.386613386613387"
"IRF1" "ZSWIM4" "0.611216823104823" "0.001998001998002"
"IRF1" "PTPRE" "0.738316196956781" "0.0009990009990009"
"IRF1" "MYBPC3" "0.606449933299278" "0.0849150849150849"
"IRF1" "TAF8" "-0.558475529640359" "0.003996003996004"
"IRF1" "CPEB2" "0.615358828479363" "0.0009990009990009"
"IRF1" "DUSP5" "0.801852614138691" "0.0009990009990009"
"IRF1" "GPR84" "0.700375012079342" "0.012987012987013"
"IRF1" "SLC25A47" "0.617478641760058" "0.107892107892108"
"IRF1" "HAPLN3" "0.707244807808898" "0.0099900099900099"
"IRF1" "NFKBIE" "0.791480420550901" "0.043956043956044"
"IRF1" "ING1" "0.559709264047403" "0.001998001998002"
"IRF1" "NOS3" "0.553209340125922" "0.004995004995005"
"IRF1" "NOD2" "0.560707645974221" "0.02997002997003"
